Ticker;Field Mnemonic;Data State;2024;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;1998;1997;1996;1995;1994;1993;1992;1991;1990;1989;1988;1987;1986;1985
SOW GR Equity;BEST_CUR_EV_TO_EBITDA;Dynamic;;14,69159406;8,19477322;9,564570833;8,847787402;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SWI US Equity;BEST_CUR_EV_TO_EBITDA;Dynamic;8,331784856;8,745235923;8,147628297;9,622655924;7,173967338;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STER US Equity;BEST_CUR_EV_TO_EBITDA;Dynamic;11,79448517;8,509770202;7,714239013;9,282028237;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TIXT CN Equity;BEST_CUR_EV_TO_EBITDA;Dynamic;5,358034466;5,981313228;7,668162757;11,87639816;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TWLO US Equity;BEST_CUR_EV_TO_EBITDA;Dynamic;8,886337118;15,4298425;8,966042822;73,48469046;86,00915183;18,83360747;11,94062088;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TENB US Equity;BEST_CUR_EV_TO_EBITDA;Dynamic;25,6656526;37,30384636;26,59613289;41,28385956;40,45208959;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TDC US Equity;BEST_CUR_EV_TO_EBITDA;Dynamic;7,074757575;8,898364318;7,683067403;9,007895257;5,743115909;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VRRM US Equity;BEST_CUR_EV_TO_EBITDA;Dynamic;13,45873963;12,00150638;8,135334124;10,79192404;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VRNS US Equity;BEST_CUR_EV_TO_EBITDA;Dynamic;143,7737487;98,07861804;42,27711537;28,72003395;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ZS US Equity;BEST_CUR_EV_TO_EBITDA;Dynamic;39,8900046;55,01129602;30,3697446;89,47317606;52,26739237;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ZI US Equity;BEST_CUR_EV_TO_EBITDA;Dynamic;9,260198723;14,61191608;17,0731258;32,37091489;32,45390559;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BIGISFTP Index;EV_TO_T12M_EBITDA;Average;192,2584632;83,51728828;913,7356065;565,2845587;937,595531;189,4360858;62,94154547;101,5158549;64,93526775;24,11668892;34,79981873;42,42803334;63,24543328;13,71565443;15,54696123;15,65279961;8,655448864;25,0580529;34,08226504;18,22094264;34,14350287;20,89440802;57,4656346;64,0560205;96,30879356;52,16649533;26,71702174;19,84754421;19,07140807;18,42524703;20,68620036;15,27329399;16,23059278;27,64082555;12,34619544;18,70862291;14,00737803;22,19672855;15,51668917;
AKAM US Equity;EV_TO_T12M_EBITDA;Dynamic;12,66454494;14,05270916;10,14996351;12,85235495;13,2408155;12,45923099;11,80312874;15,12523127;13,32592191;11,04687907;13,81832149;12,0274484;11,88656678;9,949433894;18,43041552;10,02984623;6,313038624;24,44143613;64,84303995;29,57968373;25,95637346;38,38805195;;;;;;;;;;;;;;;;;;
BB US Equity;EV_TO_T12M_EBITDA;Dynamic;;10,88247612;9,040250501;60,46417687;37,2413047;15,75926919;5,144604545;6,78309;6,492211883;13,63284998;4,196764321;1,82393747;1,472773744;0,984957209;7,37359567;12,1064284;11,16526847;66,97520983;32,72663238;25,78137679;112,9879822;;235,505482;247,8049448;391,3459845;;;;;;;;;;;;;;;
BOX US Equity;EV_TO_T12M_EBITDA;Dynamic;36,29389504;29,77607551;53,76027483;48,53948157;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BRZE US Equity;EV_TO_T12M_EBITDA;Dynamic;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NET US Equity;EV_TO_T12M_EBITDA;Dynamic;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CVLT US Equity;EV_TO_T12M_EBITDA;Dynamic;77,35232524;37,22622787;42,70155533;1037,217004;274,7110186;93,2476586;209,6833507;219,6382214;147,2825465;29,17166447;17,65834184;36,15989044;53,32586258;41,35670515;29,81793954;36,89937513;17,26596968;44,31448861;84,18461105;;;;;;;;;;;;;;;;;;;;;
CRWD US Equity;EV_TO_T12M_EBITDA;Dynamic;395,8437049;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DBX US Equity;EV_TO_T12M_EBITDA;Dynamic;12,38892057;14,20595692;22,1200979;19,94184919;15293,94419;38,53059153;129,5245934;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
