Ticker;Field Mnemonic;Data State;2024;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;1998;1997;1996;1995;1994;1993;1992;1991;1990;1989;1988;1987
6753 JP Equity;BEST_CUR_EV_TO_EBITDA;Dynamic;13,27952959;10,47275339;7,264677508;6,160120434;7,935594954;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
751 HK Equity;BEST_CUR_EV_TO_EBITDA;Dynamic;;4,413925833;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6758 JP Equity;BEST_CUR_EV_TO_EBITDA;Dynamic;10,02983303;8,432943663;6,201004655;9,10379507;7,892241971;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1070 HK Equity;BEST_CUR_EV_TO_EBITDA;Dynamic;4,288189594;1,026756581;2,105472269;2,251233392;3,658911349;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VCLF IN Equity;BEST_CUR_EV_TO_EBITDA;Dynamic;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Harware Global Displays TV Manufacturers;EV_TO_T12M_SALES;Average;;0,71075043;0,548964324;0,61685978;0,689551748;0,483481699;6,738633186;1,28518035;0,735826692;0,665874258;0,649949647;0,389851595;0,617853025;0,594341961;0,546150471;0,732325291;0,397781183;0,584932371;0,556571381;0,677157873;0,557011324;1,978230261;1,958381828;3,098649619;1,131595829;1,634648256;1,298491087;1,50724421;0,940576068;0,683520378;0,678489732;0,883659011;0,869360371;0,708375017;0,85256493;;;
600060 CH Equity;EV_TO_T12M_SALES;Dynamic;;0,488594912;0,308084169;0,357522595;0,358189125;0,329571223;0,29909829;0,508911687;0,671239378;0,811460851;0,455991444;0,487942318;0,504520751;0,361330637;0,386664226;0,74214455;0,214494837;0,429604465;0,231592541;0,334185485;0,386056139;0,449563992;0,484724286;1,005933174;1,404171723;1,632312711;1,982332651;2,223851464;;;;;;;;;;
200016 CH Equity;EV_TO_T12M_SALES;Dynamic;;1,373417723;0,902854054;0,596428115;0,670467616;0,511267886;0,435956254;0,339425079;0,56774814;0,641371451;0,452892151;0,406997583;0,556421202;0,463382989;0,575157973;0,735065755;0,43319193;0,635641409;0,471105855;0,421431498;0,475704821;;0,598516979;0,935065542;1,151541711;0,914651228;0,676228974;1,283257129;1,100162657;0,511037833;0,659314209;1,048933001;1,404396338;;;;;
066570 KS Equity;EV_TO_T12M_SALES;Dynamic;;0,313386389;0,27907413;0,406690366;0,498215784;0,326159496;0,30675699;0,404041539;0,278304665;0,286995461;0,299137043;0,320064208;0,350422075;0,320514476;0,402401154;0,405468439;0,381669314;0,514828056;0,494288059;0,618706629;0,507771402;0,510186417;0,650903849;;;;;;;;;;;;;;;
6752 JP Equity;EV_TO_T12M_SALES;Dynamic;;0,477704538;0,425839609;0,493647205;0,500113019;0,338693704;0,327778771;0,485090864;0,405167064;0,303386159;0,452124997;0,36183969;0,300902441;0,353180613;0,359873168;0,535765646;0,231025211;0,462495901;0,50299913;0,583553538;0,413174031;0,422369669;0,250999603;0,501084135;0,648383557;0,882865596;0,664180215;0,610525044;0,576581661;0,619035934;0,577489454;0,718729184;0,582947383;0,614279382;;;;
600839 CH Equity;EV_TO_T12M_SALES;Dynamic;;0,55864685;0,472619139;0,369852868;0,384168512;0,419933988;0,422862255;0,423916223;0,545751038;0,682606082;0,65660405;0,534307873;0,489508869;0,477141763;0,580693057;0,736628013;0,513483352;0,97838555;0,544090413;0,679126238;0,831417003;1,288371243;1,306742086;1,774395636;2,343317939;2,814761002;3,255308511;4,047098843;1,515608744;0,378047704;0,589408729;;;;;;;
005930 KS Equity;EV_TO_T12M_SALES;Dynamic;;1,542740298;0,777278242;1,324933023;1,636413181;1,088670387;0,625837922;1,035136796;0,767136816;0,539255145;0,6219781;0,620802288;0,900545811;0,788374283;0,746266865;0,693933799;0,54649076;0,792360055;0,979347676;1,141021069;0,803215977;1,162038183;1,058997278;1,279610915;0,912515406;1,452105891;0,858642057;0,967401738;0,787765905;0,70935416;0,745802028;0,70874928;;;;;;
6753 JP Equity;EV_TO_T12M_SALES;Dynamic;;;0,42894526;0,4259226;0,647915178;0,524295649;0,492044953;0,98520357;1,589839617;0,369907187;0,404648564;0,429366706;0,528471043;0,657879633;0,50621215;0,645679079;0,476294823;0,639957372;0,848709212;0,8559025;0,736414641;0,921941317;0,691831274;1,154648675;0,911870641;1,377746053;0,908757899;0,629396883;0,910252979;1,098195485;0,862941483;1,122687727;0,814536029;0,814987616;;;;
751 HK Equity;EV_TO_T12M_SALES;Dynamic;;0,242915513;0,316798975;0,370611435;0,319127615;0,391821278;;0,324083028;0,435916581;0,337256359;0,414328707;0,371209776;0,485217797;0,421683333;0,550340125;1,206483256;0,111916827;0,258913859;0,180656056;0,184266468;0,574791225;0,607298178;0,116145048;;;;;;;;;;;;;;;
6758 JP Equity;EV_TO_T12M_SALES;Dynamic;;1,368015219;1,511947375;1,738950138;1,680182166;0,847163608;0,584474399;0,674094905;0,602561561;0,403908913;0,412907051;0,257299444;0,264629966;0,272347202;0,329532193;0,464375908;0,295426802;0,437626768;0,70988362;0,712775788;0,551093907;0,556978025;0,521479908;0,860212008;1,187938996;2,015827962;0,7439873;0,789178369;0,753084464;0,785451153;0,635982486;0,819195863;0,675561733;0,695858053;0,85256493;;;
1070 HK Equity;EV_TO_T12M_SALES;Dynamic;;0,031332429;0,06620229;0,084039454;0,200725282;0,057239775;0,030259259;0,095538755;0,127768003;0,215275484;0,162286846;0,10868606;0,153004347;0,08393825;0,261548157;0,293364502;0,021038344;0,184436887;0,102835737;0,175113385;0,290474091;0,656372477;0,574330175;0,359967884;0,493026661;1,986915603;;;;;;;;;;;;
VCLF IN Equity;EV_TO_T12M_SALES;Dynamic;;;;;;;63,86126277;8,861541402;2,102660749;2,733193744;2,816547161;;2,262738977;2,337988391;1,308966115;1,596669259;1,150560818;1,100005755;1,056776896;1,742654004;;13,20718311;15,28752962;20,0169286;;;;;;;;;;;;;;
