Ticker;Field Mnemonic;Data State;2024;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;1998;1997;1996;1995;1994;1993;1992;1991;1990;1989;1988;1987
200725 CH Equity;BEST_CUR_EV_TO_EBITDA;Dynamic;6,855979169;5,535477648;5,091651111;6,965297201;7,327239904;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2475 TT Equity;BEST_CUR_EV_TO_EBITDA;Dynamic;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8069 TT Equity;BEST_CUR_EV_TO_EBITDA;Dynamic;31,35061226;18,76558221;9,35804714;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8105 TT Equity;BEST_CUR_EV_TO_EBITDA;Dynamic;11,64511338;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6116 TT Equity;BEST_CUR_EV_TO_EBITDA;Dynamic;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3481 TT Equity;BEST_CUR_EV_TO_EBITDA;Dynamic;3,847134196;4,579307549;5,998206442;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6740 JP Equity;BEST_CUR_EV_TO_EBITDA;Dynamic;;;23,72611822;11,31490767;10,18293005;8,478193818;7,7173608;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
034220 KS Equity;BEST_CUR_EV_TO_EBITDA;Dynamic;4,035685128;4,912043555;3,701342367;2,372044053;2,779029768;2,668063979;2,102017319;2,112652164;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6752 JP Equity;BEST_CUR_EV_TO_EBITDA;Dynamic;5,340883785;4,587622539;4,258486456;3,732550318;4,82321013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
005930 KS Equity;BEST_CUR_EV_TO_EBITDA;Dynamic;3,319888748;5,178313268;2,669902196;3,479128772;3,209544896;2,077478401;1,263573838;2,252565507;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6753 JP Equity;BEST_CUR_EV_TO_EBITDA;Dynamic;13,27952959;10,47275339;7,264677508;6,160120434;7,935594954;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
732 HK Equity;BEST_CUR_EV_TO_EBITDA;Dynamic;;;2,618188062;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
000050 CH Equity;BEST_CUR_EV_TO_EBITDA;Dynamic;19,84460606;23,45706709;8,172901922;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hardware. Global Display Panels Compeitive ;EV_TO_T12M_SALES;Average;;1,569536634;1,195699212;1,535730415;1,173413286;0,924449146;0,693024391;1,12286428;0,839435918;0,68643809;0,829117646;0,826023925;0,789871599;0,842063898;1,802579064;1,781110492;0,820254805;1,545272523;1,157690773;1,289258097;1,150168882;1,466924156;1,428450469;2,414832334;2,32672192;2,634509041;2,899002878;2,926478052;2,34251718;1,578753044;0,808729578;1,17218996;0,846934214;0,889965984;;;;
2409 TT Equity;EV_TO_T12M_SALES;Dynamic;;0,735415607;0,554299892;0,539211729;0,667241443;0,5621737;0,489160793;0,426484167;0,536813895;0,379615351;0,573107002;0,509011924;0,725326655;0,714288665;0,800315834;1,257187241;0,698875852;1,233102868;1,747960795;1,61801337;1,589662169;1,7600335;1,175998163;;;;;;;;;;;;;;;
200725 CH Equity;EV_TO_T12M_SALES;Dynamic;;1,30620279;1,515508985;1,597069064;2,74881714;2,424516532;1,782857595;2,226368013;1,511576873;1,505792606;1,990974457;3,035966812;1,681662295;2,408698429;4,624611002;5,4137595;1,120918253;2,935594616;1,638091308;1,699742142;1,27165772;0,8659754;1,098811802;2,500364502;0,974139056;2,223252836;1,934845415;4,010662792;;;;;;;;;;
2475 TT Equity;EV_TO_T12M_SALES;Dynamic;;;;;;;0,663794595;2,11437819;1,961133031;1,151493868;0,847099115;0,737811233;0,753316533;0,589831242;0,72302201;1,764238344;0,705089883;0,929315534;1,027370383;1,461141098;1,01645727;1,092144547;1,012197762;2,828725937;1,148115324;;;;;;;;;;;;;
8069 TT Equity;EV_TO_T12M_SALES;Dynamic;;8,18697208;6,114486152;8,869499166;2,774698935;1,891841178;1,629611429;2,786174993;1,238703443;0,953903231;1,107439283;1,078494296;1,121332958;1,234091396;2,623817439;5,474914479;1,758081886;2,549237987;1,235260102;1,006267009;1,176261788;;;;;;;;;;;;;;;;;
8105 TT Equity;EV_TO_T12M_SALES;Dynamic;;0,451695234;0,392653804;0,507407488;0,597657117;0,613827753;0,462567826;0,636803176;0,369125028;0,606120539;0,267532363;0,329296583;0,310718681;0,204480943;0,662210577;0,559236265;0,268747646;0,906393603;0,639942342;0,706265157;0,50644529;;;;;;;;;;;;;;;;;
6116 TT Equity;EV_TO_T12M_SALES;Dynamic;;;1,302865576;1,074313157;0,901003702;0,662483662;0,34286362;1,188949968;0,624011457;0,610682537;0,849367804;0,913350413;0,141652287;0,485721678;0,537761355;0,829500563;0,224508648;0,893147149;0,833505122;1,124986838;;;;;;;;;;;;;;;;;;
3481 TT Equity;EV_TO_T12M_SALES;Dynamic;;0,52580689;0,247958614;0,537992438;0,458122922;0,263761491;0,224777035;0,260213551;0,474256628;0,292210803;0,500521676;0,617571482;0,729938552;0,722791702;6,45341655;0,995525337;0,323943076;1,718910915;1,520535807;2,265938851;;;;;;;;;;;;;;;;;;
6740 JP Equity;EV_TO_T12M_SALES;Dynamic;;0,818362589;1,022097654;1,480240297;1,090988423;0,593212685;0,278346624;0,31348237;0,239509984;0,158382028;0,325296415;0,64263982;;;;;;;;;;;;;;;;;;;;;;;;;;
034220 KS Equity;EV_TO_T12M_SALES;Dynamic;;0,915661233;0,665517636;0,632594451;0,73556814;0,728895883;0,553939394;0,487552541;0,521279059;0,387404819;0,537543298;0,400851957;0,439782416;0,451677622;0,615037506;0,703980673;0,491356496;1,333347024;1,235999439;1,722397749;1,681608481;;;;;;;;;;;;;;;;;
6752 JP Equity;EV_TO_T12M_SALES;Dynamic;;0,477704538;0,425839609;0,493647205;0,500113019;0,338693704;0,327778771;0,485090864;0,405167064;0,303386159;0,452124997;0,36183969;0,300902441;0,353180613;0,359873168;0,535765646;0,231025211;0,462495901;0,50299913;0,583553538;0,413174031;0,422369669;0,250999603;0,501084135;0,648383557;0,882865596;0,664180215;0,610525044;0,576581661;0,619035934;0,577489454;0,718729184;0,582947383;0,614279382;;;;
005930 KS Equity;EV_TO_T12M_SALES;Dynamic;;1,542740298;0,777278242;1,324933023;1,636413181;1,088670387;0,625837922;1,035136796;0,767136816;0,539255145;0,6219781;0,620802288;0,900545811;0,788374283;0,746266865;0,693933799;0,54649076;0,792360055;0,979347676;1,141021069;0,803215977;1,162038183;1,058997278;1,279610915;0,912515406;1,452105891;0,858642057;0,967401738;0,787765905;0,70935416;0,745802028;0,70874928;;;;;;
6753 JP Equity;EV_TO_T12M_SALES;Dynamic;;;0,42894526;0,4259226;0,647915178;0,524295649;0,492044953;0,98520357;1,589839617;0,369907187;0,404648564;0,429366706;0,528471043;0,657879633;0,50621215;0,645679079;0,476294823;0,639957372;0,848709212;0,8559025;0,736414641;0,921941317;0,691831274;1,154648675;0,911870641;1,377746053;0,908757899;0,629396883;0,910252979;1,098195485;0,862941483;1,122687727;0,814536029;0,814987616;;;;
732 HK Equity;EV_TO_T12M_SALES;Dynamic;;0,516239768;0,514164797;0,709985039;0,41360965;0,461189671;0,53410899;0,813595055;0,67411404;0,446387461;0,525835807;0,656433953;0,542861298;0,539171454;0,999596839;0,844627846;0,596727772;1,431448644;0,660405161;0,905222122;1,035427055;2,664970742;1,272280763;1,550352934;1,992325673;2,740492146;1,43891752;1,606504992;3,693848212;1,414066768;1,048685347;2,138593647;1,14331923;1,240630954;;;;
000050 CH Equity;EV_TO_T12M_SALES;Dynamic;;1,788101951;1,582473531;1,771679743;2,082223873;1,864276598;1,29465193;1,960666667;;1,905591532;2,604178157;1,230897791;2,091819816;1,796643015;3,781386541;3,43608763;3,221252156;4,263231125;2,179853576;1,669903813;2,421533284;2,84591989;4,86648711;7,089039242;9,699703785;7,130591724;11,58867416;9,734376863;5,744137145;4,053112875;;;;;;;;
